vorname,anzahl,geschlecht
Marie,111,w
Sophie,105,w
Charlotte,73,w
Emilia,73,w
Alexander,68,m
Maria,65,w
Elias,54,m
Noah,54,m
Maximilian,53,m
Paul,51,m
Johanna,50,w
Luise,49,w
Felix,47,m
Sophia,47,w
Elisabeth,45,w
Ali,41,m
Leon,38,m
Mia,38,w
Anton,37,m
Jonathan,37,m
Anna,36,w
Emil,35,m
Johann,33,m
Clara,33,w
David,32,m
Jakob,32,m
Theodor,32,m
Luisa,31,w
Julian,31,m
Leonard,31,m
Ida,30,w
Mila,30,w
Oskar,30,m
Emma,29,w
Friedrich,29,m
Karl,29,m
Helena,27,w
Adam,27,m
Jonas,27,m
Konstantin,27,m
Julius,26,m
Liam,26,m
Lina,25,w
Henri,25,m
Theo,25,m
Lea,24,w
Marlene,24,w
Benjamin,24,m
Moritz,24,m
Elisa,23,w
Leonie,23,w
Johannes,23,m
Joshua,23,m
Amelie,22,w
Katharina,22,w
Victoria,22,w
Louis,22,m
Samuel,22,m
Helene,21,w
Josephine,21,w
Mira,21,w
Sarah,21,w
Daniel,21,m
Frederik,21,m
Leo,21,m
Luca,21,m
Milan,21,m
Valentin,21,m
Ella,20,w
Sofia,20,w
Linus,20,m
Lukas,20,m
Michael,20,m
Philipp,20,m
Ava,19,w
Hannah,19,w
Isabella,19,w
Lia,19,w
Pauline,19,w
Carl,19,m
Luis,19,m
Niklas,19,m
Vincent,19,m
Ela,18,w
Greta,18,w
Hanna,18,w
Laura,18,w
Lena,18,w
Nora,18,w
Constantin,18,m
Georg,18,m
Alexandra,17,w
Frida,17,w
Julia,17,w
Martha,17,w
Theresa,17,w
Ben,17,m
Jan,17,m
Justus,17,m
Tim,17,m
Emily,16,w
Maja,16,w
Paula,16,w
August,16,m
Caspar,16,m
Leopold,16,m
Levi,16,m
Milo,16,m
Simon,16,m
Mina,15,w
Rosa,15,w
Arthur,15,m
Christian,15,m
Ferdinand,15,m
Gabriel,15,m
Henry,15,m
Matteo,15,m
Otto,15,m
Raphael,15,m
Elif,14,w
Frieda,14,w
Lara,14,w
Lotte,14,w
Louisa,14,w
Louise,14,w
Mathilda,14,w
Finn,14,m
Jasper,14,m
Leander,14,m
Martin,14,m
Max,14,m
Noel,14,m
Oliver,14,m
Richard,14,m
Thomas,14,m
Alma,13,w
Amalia,13,w
Carlotta,13,w
Klara,13,w
Luna,13,w
Magdalena,13,w
Maya,13,w
Olivia,13,w
Zoe,13,w
Aaron,13,m
Adrian,13,m
Amir,13,m
Fabian,13,m
Ada,12,w
Antonia,12,w
Eva,12,w
Lotta,12,w
Viktoria,12,w
Antonio,12,m
Erik,12,m
Malik,12,m
Oscar,12,m
Rafael,12,m
Wilhelm,12,m
Yasin,12,m
Alicia,11,w
Anouk,11,w
Leyla,11,w
Matilda,11,w
Nur,11,w
Valentina,11,w
Edgar,11,m
Emilian,11,m
Jonah,11,m
Leonardo,11,m
Alva,10,w
Anni,10,w
Josefine,10,w
Lilly,10,w
Livia,10,w
Mara,10,w
Paulina,10,w
Romy,10,w
Florian,10,m
Fynn,10,m
Johan,10,m
Kasimir,10,m
Lasse,10,m
Mats,10,m
Omar,10,m
