vorname,anzahl,geschlecht,position
Marie,72,w,2
Sophie,70,w,2
Maria,50,w,2
Alexander,43,m,2
Noah,43,m,1
Emilia,42,w,1
Charlotte,36,w,2
Emma,36,w,1
Anton,35,m,1
Emil,35,m,1
Anna,33,w,1
Ella,32,w,1
Maximilian,31,m,2
Felix,30,m,1
Charlotte,30,w,1
Mila,30,w,1
Sophia,29,w,1
Jakob,27,m,1
Maximilian,27,m,1
Mia,27,w,1
Helena,26,w,1
Jonas,25,m,1
Theodor,25,m,1
Hannah,25,w,1
Jonathan,24,m,1
Lara,24,w,1
Luise,23,w,2
Julian,23,m,1
Paul,23,m,1
Lea,23,w,1
Elias,22,m,2
Adam,22,m,1
Elias,22,m,1
Lina,22,w,1
Leonard,22,m,1
Marie,22,w,1
Mathilda,22,w,1
Sophia,21,w,2
Henry,21,m,1
Liam,21,m,1
Clara,20,w,1
Julius,20,m,1
Mira,20,w,1
Louis,20,m,1
Oskar,20,m,1
Theo,20,m,1
Greta,19,w,1
Johanna,19,w,1
Luise,19,w,1
Alexander,19,m,1
Nora,19,w,1
Paul,18,m,2
Ben,18,m,1
Lena,18,w,1
Luca,18,m,1
Luisa,18,w,1
Elisabeth,17,w,2
Finn,17,m,1
Ida,17,w,1
Leon,17,m,1
Valentin,16,m,2
Anna,16,w,2
Emilia,16,w,2
Marlene,16,w,1
Arthur,16,m,1
David,16,m,1
Leo,16,m,1
Moritz,16,m,1
Anton,15,m,2
Elisa,15,w,2
Maja,15,w,1
Matilda,15,w,1
Paula,15,w,1
Sofia,15,w,1
Levi,15,m,1
Linus,15,m,1
Emil,14,m,2
Jakob,14,m,2
Luisa,14,w,2
Victoria,14,w,2
Elisa,14,w,1
Frida,14,w,1
Fritz,14,m,1
Klara,14,w,1
Luis,14,m,1
Leni,14,w,1
Lukas,14,m,1
Olivia,14,w,1
Tim,14,m,1
Sophie,14,w,1
Vincent,14,m,1
Helene,13,w,2
Alma,13,w,1
Adrian,13,m,1
Ava,13,w,1
Bruno,13,m,1
Elisabeth,13,w,1
Carl,13,m,1
Julia,13,w,1
Gabriel,13,m,1
Leonie,13,w,1
Karl,13,m,1
Mina,13,w,1
Max,13,m,1
Milan,13,m,1
Valentin,13,m,1
Caspar,12,m,2
Felix,12,m,2
Johannes,12,m,2
Karl,12,m,2
Amelie,12,w,1
Antonia,12,w,1
Lia,12,w,1
Benjamin,12,m,1
Louisa,12,w,1
Henri,12,m,1
Maya,12,w,1
Malik,12,m,1
Mats,12,m,1
David,11,m,2
Friedrich,11,m,2
Konstantin,11,m,2
Noah,11,m,2
Isabella,11,w,1
Laura,11,w,1
Friedrich,11,m,1
Lilly,11,w,1
Ilyas,11,m,1
Liya,11,w,1
Johann,11,m,1
Maria,11,w,1
Joshua,11,m,1
Nele,11,w,1
Matteo,11,m,1
Raphael,11,m,1
Emma,10,w,2
Johanna,10,w,2
Benjamin,10,m,2
Carl,10,m,2
Jonathan,10,m,2
Julius,10,m,2
Louis,10,m,2
Luca,10,m,2
Michael,10,m,2
Otto,10,m,2
Philipp,10,m,2
Sebastian,10,m,2
Alva,10,w,1
Carla,10,w,1
Florian,10,m,1
Emily,10,w,1
Leonardo,10,m,1
Hanna,10,w,1
Juna,10,w,1
Sara,10,w,1
Marie,9,w,3
Mathilda,9,w,2
Can,9,m,2
Leonard,9,m,2
Martin,9,m,2
Daniel,9,m,1
Frederik,9,m,1
Jan,9,m,1
Ada,9,w,1
Matheo,9,m,1
Elena,9,w,1
Mika,9,m,1
Fiona,9,w,1
Samuel,9,m,1
Luna,9,w,1
Tom,9,m,1
Stella,9,w,1
Theresa,9,w,1
Tilda,9,w,1
Amalia,8,w,2
Antonia,8,w,2
Elise,8,w,2
Josephine,8,w,2
Lou,8,w,2
Louise,8,w,2
Su,8,w,2
August,8,m,2
Frederik,8,m,2
Georg,8,m,2
Henry,8,m,2
Liam,8,m,2
Lukas,8,m,2
Samuel,8,m,2
Theodor,8,m,2
Amir,8,m,1
Caspar,8,m,1
Enno,8,m,1
Amalia,8,w,1
Erik,8,m,1
Ana,8,w,1
Hamza,8,m,1
Carlotta,8,w,1
Hugo,8,m,1
Ela,8,w,1
Jonah,8,m,1
Leah,8,w,1
Justus,8,m,1
Merle,8,w,1
Kian,8,m,1
Sarah,8,w,1
Konstantin,8,m,1
Thea,8,w,1
Malte,8,m,1
Viktoria,8,w,1
Maxim,8,m,1
Omar,8,m,1
Tobias,8,m,1
Amelie,7,w,2
Ida,7,w,2
Isabel,7,w,2
Lucia,7,w,2
Rosa,7,w,2
Ali,7,m,2
Gabriel,7,m,2
Johann,7,m,2
Joseph,7,m,2
Joshua,7,m,2
Max,7,m,2
Flora,7,w,1
Isabel,7,w,1
Josephine,7,w,1
Jannis,7,m,1
Leyla,7,w,1
Lucas,7,m,1
Lilli,7,w,1
Oliver,7,m,1
Liv,7,w,1
Oscar,7,m,1
Livia,7,w,1
Philipp,7,m,1
Mara,7,w,1
Simon,7,m,1
William,7,m,1
Paul,6,m,3
Elisabeth,6,w,3
Maria,6,w,3
Sophie,6,w,3
Alma,6,w,2
Ava,6,w,2
Carlotta,6,w,2
Hannah,6,w,2
Helena,6,w,2
Isabella,6,w,2
Katharina,6,w,2
Lara,6,w,2
Matilda,6,w,2
Mia,6,w,2
Mira,6,w,2
Sabine,6,w,2
Andreas,6,m,2
Constantin,6,m,2
Fritz,6,m,2
Hugo,6,m,2
Leopold,6,m,2
Linus,6,m,2
Thomas,6,m,2
William,6,m,2
Adriana,6,w,1
Defne,6,w,1
Ali,6,m,1
Elif,6,w,1
Constantin,6,m,1
Esila,6,w,1
Dominik,6,m,1
Eva,6,w,1
Emilio,6,m,1
Finja,6,w,1
Emir,6,m,1
Helene,6,w,1
Ferdinand,6,m,1
Jasmin,6,w,1
Jannes,6,m,1
Kira,6,w,1
Kilian,6,m,1
Liana,6,w,1
Leopold,6,m,1
Michelle,6,w,1
Levin,6,m,1
Nika,6,w,1
Lio,6,m,1
Pauline,6,w,1
Luka,6,m,1
Romy,6,w,1
Mateo,6,m,1
Zoe,6,w,1
Mattis,6,m,1
Mio,6,m,1
Miran,6,m,1
Nathan,6,m,1
Nick,6,m,1
Nicolas,6,m,1
Niklas,6,m,1
Alexander,5,m,3
Maria,5,m,3
Alexandra,5,w,2
Clara,5,w,2
Emilie,5,w,2
Jolie,5,w,2
Laura,5,w,2
Lea,5,w,2
Liv,5,w,2
Magdalena,5,w,2
Marlene,5,w,2
Meryem,5,w,2
Mina,5,w,2
Arthur,5,m,2
Sofie,5,w,2
Aurel,5,m,2
Theresa,5,w,2
Finn,5,m,2
Valentina,5,w,2
Franz,5,m,2
Henri,5,m,2
Jonas,5,m,2
Levin,5,m,2
Matteo,5,m,2
Niklas,5,m,2
Ole,5,m,2
Oliver,5,m,2
Peter,5,m,2
Robert,5,m,2
Wilhelm,5,m,2
Alessia,5,w,1
Alina,5,w,1
Alisa,5,w,1
Aurelia,5,w,1
Elin,5,w,1
Jonna,5,w,1
Juno,5,w,1
Aaron,5,m,1
Katharina,5,w,1
Adem,5,m,1
Marta,5,w,1
August,5,m,1
Melissa,5,w,1
Bennet,5,m,1
Meryem,5,w,1
Edgar,5,m,1
Miray,5,w,1
Elyas,5,m,1
Paulina,5,w,1
Gustav,5,m,1
Pia,5,w,1
Jason,5,m,1
Rosa,5,w,1
Johan,5,m,1
Valentina,5,w,1
Johannes,5,m,1
Victoria,5,w,1
Joris,5,m,1
Kaan,5,m,1
Lennard,5,m,1
Lennart,5,m,1
Mohamad,5,m,1
Mohammad,5,m,1
Neo,5,m,1
Nils,5,m,1
Piet,5,m,1
Sami,5,m,1
Till,5,m,1
Tristan,5,m,1
Ömer,5,m,1
Frederick,4,m,3
Heinrich,4,m,3
Rosa,4,w,3
Christine,4,w,2
Dorothea,4,w,2
Elena,4,w,2
Eleni,4,w,2
Ella,4,w,2
Frieda,4,w,2
Gabriele,4,w,2
